#organism	abbrev	total genes	total length	num chr	institution	reference	rel. date	mod. date	update	gtps	refseq	gbk(genbank)	source
Brucella abortus bv. 6 870	gm03864	3,053	3,281,154	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-18	2016-05-19		NZ_CP007709,NZ_CP007710	CP007709,CP007710	refseq
Brucella abortus bv. 9 C68	gm03865	3,060	3,279,946	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-18	2016-05-19		NZ_CP007705,NZ_CP007706	CP007705,CP007706	refseq
Brucella canis SVA13	bcas	3,006	3,310,315	2		Genome Announc 2 (4), e00700-14 (2014)	2014-05-15	2015-03-18	2016-05-19		NZ_CP007629,NZ_CP007630	CP007629,CP007630	gbk
Brucella canis RM6/66	gm03866	2,998	3,312,751	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-18	2016-05-19		NZ_CP007758,NZ_CP007759	CP007758,CP007759	refseq
Brucella canis ATCC 23365	bcs	3,447	3,312,769	2	DOE Joint Genome Institute	Unpublished	2007-11-29	2015-02-07	2016-05-19		NC_010103,NC_010104	CP000872,CP000873	refseq
Brucella canis HSK A52141	bsk	2,977	3,277,512	2	Macrogen	Submitted (06-FEB-2012) National Center for Biotechnology	2011-12-15	2015-02-07	2016-05-19		NC_016778,NC_016796	CP003174,CP003175	refseq
Brucella canis Oliveri	bol	3,015	3,318,655	2		Unpublished	2014-01-24	2015-03-15	2016-05-19		NZ_HG803175,NZ_HG803176	HG803175,HG803176	gbk
Brucella ceti TE10759-12	bcet	2,953	3,278,034	2		Unpublished	2013-11-25	2015-02-07	2016-05-19		NC_022905,NC_022906	CP006896,CP006897	refseq
Brucella ceti TE28753-12	bcee	2,376	3,277,545	2		Unpublished	2013-11-25	2014-12-18	2015-04-24		NC_022907,NC_022908	CP006898,CP006899	refseq
Brucella melitensis M28	bmz	3,513	3,311,748	2	National Key Laboratory of Veterinary Biotechnology , Harbin Veterinary Research Institute, Chinese 	J. Bacteriol. 193 (11), 2904-2905 (2011)	2011-03-18	2015-02-07	2016-05-19		NC_017244,NC_017245	CP002459,CP002460	refseq
Brucella melitensis M5-90	bmg	3,528	3,312,229	2	National Key Laboratory of Veterinary Biotechnology , Harbin Veterinary Research Institute, Chinese 	J. Bacteriol. 193 (11), 2904-2905 (2011)	2011-03-22	2015-02-07	2016-05-19		NC_017246,NC_017247	CP001851,CP001852	refseq
Brucella melitensis NI	bmw	3,525	3,294,475	2	China Agricultrual University	Unpublished	2011-10-06	2015-02-07	2016-05-19		NC_017248,NC_017283	CP002931,CP002932	refseq
Brucella melitensis 16M	bme	3,519	3,294,931	2	Integrated Genomics	Proc. Natl. Acad. Sci. U.S.A. 99, 443-448 (2002)	2002-01-08	2015-02-07	2016-05-19		NC_003317,NC_003318	AE008917,AE008918	refseq
Brucella melitensis bv. 1 16M	gm03867	3,011	3,294,775	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-18	2016-05-19		NZ_CP007762,NZ_CP007763	CP007762,CP007763	refseq
Brucella melitensis ATCC 23457	bmi	3,519	3,311,219	2	Virginia Bioinformatics Institute	Unpublished	2009-03-25	2015-02-07	2016-05-19		NC_012441,NC_012442	CP001488,CP001489	refseq
Brucella melitensis bv. 2 63/9	gm03868	3,038	3,312,958	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-15	2016-05-19		NZ_CP007788,NZ_CP007789	CP007788,CP007789	refseq
Brucella melitensis bv. 3 str. Ether ether	gm03869	3,024	3,310,727	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-18	2016-05-19		NZ_CP007760,NZ_CP007761	CP007760,CP007761	refseq
Brucella microti CCM 4915	bmr	3,438	3,337,369	2	CNRS	BMC Genomics 10 (1), 352 (2009)	2009-08-18	2015-02-07	2016-05-19		NC_013119,NC_013118	CP001578,CP001579	refseq
Brucella ovis ATCC 25840	bov	3,601	3,275,590	2	TIGR	Submitted (04-JUN-2007) National Center for Biotechnology	2007-05-31	2015-02-07	2016-05-19		NC_009505,NC_009504	CP000708,CP000709	refseq
Brucella pinnipedialis 6/566	gm03870	3,041	3,331,029	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-18	2016-05-19		NZ_CP007742,NZ_CP007743	CP007742,CP007743	refseq
Brucella pinnipedialis B2/94	bpp	3,609	3,399,268	2	INRA	BMC Evol. Biol. 11 (1), 200 (2011)	2011-07-20	2015-03-04	2016-05-19		NC_015857,NC_015858	CP002078,CP002079	refseq
Brucella suis BSP	gm03871	3,004	3,313,865	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-18	2016-05-19		NZ_CP008756,NZ_CP008757	CP008756,CP008757	refseq
Brucella suis 513UK	gm03872	2,995	3,319,697	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-18	2016-05-19		NZ_CP007716,NZ_CP007717	CP007716,CP007717	refseq
Brucella suis Human/AR/US/1981	gm03873	3,012	3,315,086	2		Unpublished	2015-02-13	2015-02-18	2016-05-19		NZ_CP010850,NZ_CP010851	CP010850,CP010851	refseq
Brucella suis ZW043	gm03874	3,147	3,440,864	2		Genome Announc 2 (5) (2014)	2014-09-16	2015-03-01	2016-05-19		NZ_CP009094,NZ_CP009095	CP009094,CP009095	refseq
Brucella suis ZW046	gm03875	3,186	3,493,279	2		Genome Announc 2 (5) (2014)	2014-09-16	2015-03-01	2016-05-19		NZ_CP009096,NZ_CP009097	CP009096,CP009097	refseq
Brucella suis 1330	bms	3,456	3,315,175	2	NITE/TIGR	Proc. Natl. Acad. Sci. U.S.A. 99, 13148-13153 (2002)	2002-10-01	2015-02-07	2016-05-19		NC_004310,NC_004311	AE014291,AE014292	refseq
Brucella suis 1330	bsi	3,017	3,315,163	2	Virginia Bioinformatics Institute	J. Bacteriol. 193 (22), 6410 (2011)	2011-08-10	2015-02-07	2016-05-19		NC_017251,NC_017250	CP002997,CP002998	refseq
Brucella suis VBI22	bsv	3,019	3,316,088	2	Virginia Bioinformatics Institute	Unpublished	2011-11-28	2015-02-07	2016-05-19		NC_016797,NC_016775	CP003128,CP003129	refseq
Brucella suis bv. 1 S2	bsf	3,014	3,315,275	2		Unpublished	2014-03-25	2015-02-07	2016-05-19		NZ_CP006961,NZ_CP006962	CP006961,CP006962	gbk
Brucella suis bv. 2 PT09172	gm03351	2,997	3,325,042	2		Genome Announc 2 (4), e00618-14 (2014)	2014-06-05	2015-03-18	2016-05-19		NZ_CP007693,NZ_CP007694	CP007693,CP007694	gbk
Brucella suis bv. 2 Bs143CITA	bsui	3,363	3,324,539	2		Genome Announc 2 (4), e00618-14 (2014)	2014-06-06	2015-06-29	2016-05-19			CP007695,CP007696	gbk
Brucella suis bv. 2 PT09143	gm03353	2,996	3,324,765	2		Genome Announc 2 (4), e00618-14 (2014)	2014-06-05	2015-03-18	2016-05-19		NZ_CP007691,NZ_CP007692	CP007691,CP007692	gbk
Brucella suis bv. 2 Bs364CITA	gm03354	3,002	3,328,972	2		Unpublished	2014-06-05	2015-03-18	2016-05-19		NZ_CP007697,NZ_CP007698	CP007697,CP007698	gbk
Brucella suis bv. 2 Bs396CITA	gm03356	3,006	3,328,458	2		Unpublished	2014-06-05	2015-03-01	2016-05-19		NZ_CP007720,NZ_CP007721	CP007720,CP007721	gbk
Brucella suis ATCC 23445	bmt	3,498	3,324,607	2	DOE Joint Genome Institute	Unpublished	2007-12-20	2015-02-07	2016-05-19		NC_010169,NC_010167	CP000911,CP000912	refseq
Brucella suis bv. 3 686	gm03876	2,971	3,297,260	2		Genome Announc 2 (5) (2014)	2014-08-15	2015-03-18	2016-05-19		NZ_CP007718,NZ_CP007719	CP007718,CP007719	refseq
Ochrobactrum anthropi OAB	gm04412	4,521	4,901,165	4		Genome Announc 2 (5) (2014)	2014-08-21	2015-03-18	2016-05-19		NZ_CP008817,NZ_CP008818,NZ_CP008819,NZ_CP008820	CP008817,CP008818,CP008819,CP008820	refseq
Ochrobactrum anthropi ATCC 49188	oan	5,092	5,205,777	6	DOE Joint Genome Institute	Unpublished	2007-07-10	2015-02-07	2016-05-19		NC_009667,NC_009668,NC_009669,NC_009670,NC_009671,NC_009672	CP000758,CP000759,CP000760,CP000761,CP000762,CP000763	refseq
Filomicrobium marinum strain W	gm04171	3,605	3,969,941	1		Submitted (05-FEB-2015) IINFACTS, R. Central de Gandra, 1317	2015-03-21	2015-05-04	2016-05-19		NZ_LN829118	LN829118	refseq
Filomicrobium marinum strain Y	gm04172	3,604	3,969,942	1		Submitted (05-FEB-2015) IINFACTS, R. Central de Gandra, 1317	2015-03-24	2015-05-04	2016-05-19		NZ_LN829119	LN829119	refseq
Hyphomicrobium denitrificans 1NES1	hdt	3,587	3,808,687	1	DOE Joint Genome Institute	Unpublished	2013-04-30	2015-02-07	2016-05-19		NC_021172	CP005587	refseq
Hyphomicrobium denitrificans ATCC 51888	hdn	3,669	3,638,969	1	DOE Joint Genome Institute	Unpublished	2009-08-04	2015-02-07	2016-05-19		NC_014313	CP002083	refseq
Hyphomicrobium nitrativorans NL23	hni	3,303	3,653,837	1		Unpublished	2013-12-04	2015-02-07	2016-05-19		NC_022997	CP006912	refseq
Hyphomicrobium sp. MC1	hmc	5,017	4,757,528	1	Genoscope	Submitted (24-JUN-2011) National Center for Biotechnology	2011-06-24	2015-02-07	2016-05-19		NC_015717	FQ859181	refseq
Pelagibacterium halotolerans B2	phl	3,768	3,948,887	2	Zhejiang University, China	J. Bacteriol. 194 (1), 197-198 (2012)	2011-10-14	2015-02-07	2016-05-19		NC_016078,NC_016079	CP003075,CP003076	refseq
Rhodomicrobium vannielii ATCC 17100	rva	4,214	4,014,469	1	DOE Joint Genome Institute	Unpublished	2010-01-11	2015-02-07	2016-05-19		NC_014664	CP002292	refseq
Methylobacterium extorquens AM1	mea	6,694	6,879,778	5	Univ of Washington	PLoS ONE 4 (5), E5584 (2009)	2009-06-17	2015-02-24	2016-05-19		NC_012808,NC_012811,NC_012807,NC_012809,NC_012810	CP001510,CP001511,CP001512,CP001513,CP001514	refseq
Methylobacterium chloromethanicum CM4	mch	5,877	6,180,732	3	DOE Joint Genome Institute	Unpublished	2008-12-19	2015-02-07	2016-05-19		NC_011757,NC_011758,NC_011760	CP001298,CP001299,CP001300	refseq
Methylobacterium extorquens DM4	mdi	5,905	6,123,851	3	Genoscope	PLoS ONE 4 (5), E5584 (2009)	2009-07-17	2015-02-07	2016-05-19		NC_012988,NC_012987,NC_012989	FP103042,FP103043,FP103044	refseq
Methylobacterium extorquens PA1	mex	5,071	5,471,154	1	DOE Joint Genome Institute	Unpublished	2007-12-20	2015-02-09	2016-05-19		NC_010172	CP000908	refseq
Methylobacterium nodulans ORS 2060	mno	9,212	8,839,022	8	DOE Joint Genome Institute	Unpublished	2009-01-12	2015-02-24	2016-05-19		NC_011894,NC_011892,NC_011887,NC_011893,NC_011895,NC_011888,NC_011889,NC_011890	CP001349,CP001350,CP001351,CP001352,CP001353,CP001354,CP001355,CP001356	refseq
Methylobacterium oryzae CBMB20	gm04327	5,513	6,286,629	1		PLoS ONE 9 (9), E106704 (2014)	2014-09-25	2015-02-24	2016-05-19		NZ_CP003811	CP003811	refseq
Methylobacterium populi BJ001	mpo	5,603	5,848,997	3	DOE Joint Genome Institute	Unpublished	2008-04-09	2015-02-07	2016-05-19		NC_010725,NC_010727,NC_010721	CP001029,CP001030,CP001031	refseq
Methylobacterium radiotolerans JCM 2831	mrd	6,596	6,899,110	9	DOE Joint Genome Institute	Unpublished	2008-03-21	2015-06-16	2016-05-19		NC_010505,NC_010510,NC_010509,NC_010514,NC_010517,NC_010518,NC_010502,NC_010504,NC_010507	CP001001,CP001002,CP001003,CP001004,CP001005,CP001006,CP001007,CP001008,CP001009	refseq
Methylobacterium sp. 4-46	met	7,116	7,737,025	3	DOE Joint Genome Institute	Unpublished	2008-02-20	2015-02-24	2016-05-19		NC_010511,NC_010373,NC_010374	CP000943,CP000944,CP000945	refseq
Methylocystis sp. SC2	msc	3,562	3,773,444	1	Max Planck Institute for Terrestrial Microbiology	Unpublished	2012-08-20	2015-02-07	2016-05-19		NC_018485	HE956757	refseq
Mesorhizobium sp. BNC1	mes	4,942	4,935,185	4	DOE Joint Genome Institute	Unpublished	2006-07-01	2015-02-07	2016-05-19		NC_008242,NC_008254,NC_008243,NC_008244	CP000389,CP000390,CP000391,CP000392	refseq
Hoeflea sp. IMCC20628	gm04237	4,670	5,119,813	3		Unpublished	2015-05-21	2015-05-22	2016-05-19		NZ_CP011479,NZ_CP011480,NZ_CP011481	CP011479,CP011480,CP011481	refseq
Mesorhizobium australicum WSM2073	mam	5,758	6,200,534	1	DOE Joint Genome Institute	Unpublished	2012-12-28	2015-02-07	2016-05-19		NC_019973	CP003358	refseq
Mesorhizobium ciceri biovar biserrulae WSM1271	mci	6,384	6,690,028	2	US DOE Joint Genome Institute	Unpublished	2011-01-07	2014-12-18	2015-04-24		NC_014923,NC_014918	CP002447,CP002448	refseq
Mesorhizobium huakuii 7653R	gm03150	6,319	6,881,675	3		BMC Genomics 15 (1), 440 (2014)	2014-06-17	2015-03-19	2016-05-19		NZ_CP006581,NZ_CP006582,NZ_CP006583	CP006581,CP006582,CP006583	gbk
Mesorhizobium loti MAFF303099	mlo	7,643	7,596,297	3	Kazusa	DNA Res., 7, 331-338(2000)	2000-12-10	2015-03-04	2016-05-19		NC_002682,NC_002678,NC_002679	AP003017,BA000012,BA000013	refseq
Mesorhizobium opportunistum WSM2075	mop	6,780	6,884,444	1	US DOE Joint Genome Institute (JGI-PGF)	Unpublished	2009-09-22	2015-02-07	2016-05-19		NC_015675	CP002279	refseq
Liberibacter africanus PTSAPSY	gm03991	978	1,192,232	1		Unpublished	2015-06-05	2015-06-08	2016-05-19		NZ_CP004021	CP004021	refseq
Liberibacter americanus Sao Paulo	lar	944	1,195,201	1		Mol. Plant Microbe Interact. 27 (2), 163-176 (2014)	2013-11-12	2015-02-07	2016-05-19		NC_022793	CP006604	refseq
Liberibacter asiaticus Ishi-1	gm03992	994	1,190,853	1		PLoS ONE 9 (9), E106109 (2014)	2014-08-02	2015-03-24	2016-05-19		NZ_AP014595	AP014595	refseq
Liberibacter asiaticus gxpsy	laa	1,066	1,268,237	1	United States Department of Agriculture	Submitted (22-MAR-2013) National Center for Biotechnology	2013-03-14	2015-02-07	2016-05-19		NC_020549	CP004005	refseq
Liberibacter asiaticus psy62	las	1,125	1,227,328	1	Univ of Florida	Mol. Plant Microbe Interact. 22 (8), 1011-1020 (2009)	2009-08-12	2015-02-07	2016-05-19		NC_012985	CP001677	refseq
Liberibacter solanacearum CLso-ZC1	lso	1,224	1,258,278	1	USDA - Agricultural Research Service, USA	Submitted (09-DEC-2010) National Center for Biotechnology	2010-12-03	2015-03-01	2016-05-19		NC_014774	CP002371	refseq
Liberibacter crescens BT-1	lcc	1,230	1,504,659	1	University of Florida	Stand Genomic Sci 7 (2) (2012) In press	2012-12-19	2015-02-07	2016-05-19		NC_019907	CP003789	refseq
Agrobacterium sp. H13-3	agr	5,382	5,573,770	3	Bielefeld Univ	J. Biotechnol. (2011) In press	2011-03-02	2015-02-07	2016-05-19		NC_015183,NC_015508,NC_015184	CP002248,CP002249,CP002250	refseq
Agrobacterium tumefaciens C58	atu	5,457	5,674,258	4	Cereon	Science 294 (5550), 2317-2323 (2001)	2001-12-18	2014-12-22	2015-04-24		NC_003062,NC_003063,NC_003065,NC_003064	AE007869,AE007870,AE007871,AE007872	refseq
Agrobacterium tumefaciens Ach5	gm03712	5,195	5,668,655	4		Unpublished	2015-04-13	2015-04-21	2016-05-19		NZ_CP011246,NZ_CP011247,NZ_CP011248,NZ_CP011249	CP011246,CP011247,CP011248,CP011249	refseq
Agrobacterium radiobacter K84	ara	7,020	7,273,300	5	Agrobacterium consortium	J. Bacteriol. 191 (8), 2501-2511 (2009)	2009-01-27	2015-02-07	2016-05-19		NC_011985,NC_011983,NC_011990,NC_011987,NC_011994	CP000628,CP000629,CP000630,CP000631,CP000632	refseq
Agrobacterium tumefaciens LBA4213 (Ach5)	gm03144	5,147	5,630,690	4		Genome Announc 2 (2), e00225-14 (2014)	2014-02-24	2015-03-15	2016-05-19		NZ_CP007225,NZ_CP007226,NZ_CP007227,NZ_CP007228	CP007225,CP007226,CP007227,CP007228	gbk
Agrobacterium vitis S4	avi	6,098	6,320,946	7	Agrobacterium consortium	J. Bacteriol. 191 (8), 2501-2511 (2009)	2009-01-27	2015-02-07	2016-05-19		NC_011989,NC_011988,NC_011991,NC_011984,NC_011982,NC_011981,NC_011986	CP000633,CP000634,CP000635,CP000636,CP000637,CP000638,CP000639	refseq
Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141	ngl	6,057	6,413,184	3		BMC Genomics 15, 500 (2014)	2014-06-25	2015-03-18	2016-05-19		NZ_HG938355,NZ_HG938356,NZ_HG938357	HG938355,HG938356,HG938357	gbk
Neorhizobium galegae bv. orientalis HAMBI 540	ngg	6,056	6,455,027	2		BMC Genomics 15, 500 (2014)	2014-06-25	2015-02-07	2016-05-19		NZ_HG938353,NZ_HG938354	HG938353,HG938354	gbk
Rhizobium etli CFN 42	ret	6,405	6,530,228	7	Universidad Nacional Autonoma de Mexico	Proc Natl Acad Sci U S A. 2006 Mar 7;103(10):3834-9. Epub 20	2006-02-01	2015-02-08	2016-05-19		NC_007761,NC_007762,NC_007763,NC_007764,NC_007765,NC_007766,NC_004041	CP000133,CP000134,CP000135,CP000136,CP000137,CP000138,U80928	refseq
Rhizobium etli CIAT 652	rec	6,270	6,448,048	4	Universidad Nacional Autonoma de Mexico 	Unpublished	2008-06-19	2015-02-07	2016-05-19		NC_010994,NC_010998,NC_010996,NC_010997	CP001074,CP001075,CP001076,CP001077	refseq
Rhizobium etli bv. mimosae IE4771	rei	6,466	7,057,405	6		Unpublished	2014-06-06	2015-03-19	2016-05-19		NZ_CP006986,NZ_CP006987,NZ_CP006988,NZ_CP006989,NZ_CP006990,NZ_CP006991	CP006986,CP006987,CP006988,CP006989,CP006990,CP006991	gbk
Rhizobium etli bv. mimosae Mim1	rel	6,544	7,197,998	7		Unpublished	2013-07-31	2015-02-07	2016-05-19		NC_021905,NC_021906,NC_021907,NC_021910,NC_021908,NC_021909,NC_021911	CP005950,CP005951,CP005952,CP005953,CP005954,CP005955,CP005956	refseq
Rhizobium etli bv. phaseoli IE4803	gm04509	6,355	6,997,434	5		Unpublished	2015-01-07	2015-03-19	2016-05-19		NZ_CP007641,NZ_CP007642,NZ_CP007643,NZ_CP007644,NZ_CP007645	CP007641,CP007642,CP007643,CP007644,CP007645	refseq
Rhizobium gallicum bv. gallicum R602	gm04510	6,692	7,311,190	4		Unpublished	2015-01-09	2015-03-19	2016-05-19		NZ_CP006877,NZ_CP006878,NZ_CP006879,NZ_CP006880	CP006877,CP006878,CP006879,CP006880	refseq
Rhizobium leguminosarum bv. trifolii CB782	rlu	6,158	6,703,653	4		Submitted (10-JAN-2014) DOE Joint Genome Institute, 2800 Mit	2014-01-16	2015-04-08	2016-05-19		NZ_CP007067,NZ_CP007068,NZ_CP007069,NZ_CP007070	CP007067,CP007068,CP007069,CP007070	gbk
Rhizobium leguminosarum WSM1325	rlg	7,266	7,418,122	6	DOE Joint Genome Institute	Unpublished	2009-06-22	2015-02-07	2016-05-19		NC_012850,NC_012848,NC_012858,NC_012853,NC_012852,NC_012854	CP001622,CP001623,CP001624,CP001625,CP001626,CP001627	refseq
Rhizobium leguminosarum bv. trifolii WSM1689	rlb	6,443	6,903,379	6		Submitted (10-JAN-2014) DOE Joint Genome Institute, 2800 Mit	2014-01-13	2015-02-07	2016-05-19		NZ_CP007045,NZ_CP007046,NZ_CP007047,NZ_CP007048,NZ_CP007049,NZ_CP007050	CP007045,CP007046,CP007047,CP007048,CP007049,CP007050	gbk
Rhizobium leguminosarum WSM2304	rlt	6,655	6,872,702	5	DOE Joint Genome Institute	Unpublished	2008-10-16	2015-02-07	2016-05-19		NC_011369,NC_011368,NC_011366,NC_011371,NC_011370	CP001191,CP001192,CP001193,CP001194,CP001195	refseq
Rhizobium leguminosarum bv. viciae 3841	rle	7,544	7,751,309	7	Welcome Trust Sanger Institute	Genome Biol. 7, R4-R4 (2006)	2006-04-26	2015-02-07	2016-05-19		NC_008380,NC_008382,NC_008383,NC_008379,NC_008381,NC_008384,NC_008378	AM236080,AM236081,AM236082,AM236083,AM236084,AM236085,AM236086	refseq
Rhizobium sp. NT-26	gm04511	4,679	4,577,425	3		Genome Biol Evol 5 (5), 934-953 (2013)	2012-12-17	2015-03-07	2016-05-19			FO082820,FO082821,FO082822	gbk
Rhizobium sp. IRBG74	rir	5,478	5,464,982	3	NCBI	Unpublished	2013-10-01	2014-12-18	2015-04-24		NC_022535,NC_022545,NC_022536	HG518322,HG518323,HG518324	refseq
Rhizobium sp. LPU83	rhl	6,434	7,038,809	4		Unpublished	2014-02-11	2015-03-19	2016-05-19		NZ_HG916852,NZ_HG916853,NZ_HG916854,NZ_HG916855	HG916852,HG916853,HG916854,HG916855	gbk
Rhizobium tropici CIAT 899	rtr	6,144	6,686,334	4	Universidad Nacional Autonoma de Mexico	BMC Genomics 13 (1), 735 (2012)	2013-01-03	2015-02-07	2016-05-19		NC_020059,NC_020060,NC_020061,NC_020062	CP004015,CP004016,CP004017,CP004018	refseq
Ensifer adhaerens OV14	ead	7,078	7,709,009	4		BMC Genomics 15 (1), 268 (2014)	2014-02-28	2015-02-07	2016-05-19		NZ_CP007236,NZ_CP007237,NZ_CP007238,NZ_CP007239	CP007236,CP007237,CP007238,CP007239	gbk
Sinorhizobium fredii HH103	sfh	6,446	7,221,188	10	Center for Biotechnology, Bielefeld University, Germany	Unpublished	2011-12-21	2015-03-18	2016-05-19		NC_016812,NC_016813,NC_016836,NC_016814,NT_187146,NT_187147,NT_187148,NT_187149,NT_187150,NC_016815	HE616890,HE616891,HE616892,HE616893,HE616894,HE616895,HE616896,HE616897,HE616898,HE616899	refseq
Rhizobium sp. NGR234	rhi	6,524	6,891,900	3	University of Goettingen	Appl. Environ. Microbiol. (2009) In press	2009-04-22	2014-12-18	2015-04-24		NC_012586,NC_012587,NC_000914	CP000874,CP001389,U00090	refseq
Sinorhizobium fredii USDA 257	sfd	6,267	7,032,323	20	Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory	J. Bacteriol. 194 (16), 4483 (2012)	2012-06-06	2015-05-05	2016-05-19		NC_018000,NT_187163,NT_187151,NT_187152,NT_187164,NT_187153,NT_187154,NT_187165,NT_187155,NT_187166,NT_187156,NT_187157,NT_187167,NT_187158,NT_187159,NT_187168,NT_187160,NT_187162,NT_187161,NT_187169	CP003563,CP003564,CP003565,CP003566,CP003567,CP003568,CP003569,CP003570,CP003571,CP003572,CP003573,CP003574,CP003575,CP003576,CP003577,CP003578,CP003579,CP003580,CP003581,CP003582	refseq
Sinorhizobium medicae WSM419	smd	6,479	6,817,576	4	DOE Joint Genome Institute	Unpublished	2007-06-29	2014-12-18	2015-04-24		NC_009636,NC_009620,NC_009621,NC_009622	CP000738,CP000739,CP000740,CP000741	refseq
Sinorhizobium meliloti RMO17	gm04576	6,149	6,733,414	3		Genome Announc 2 (5) (2014)	2014-09-03	2015-03-18	2016-05-19		NZ_CP009144,NZ_CP009145,NZ_CP009146	CP009144,CP009145,CP009146	refseq
Sinorhizobium meliloti 1021	sme	6,534	6,691,694	3	MELILO	Science, 293, 668-672 (2001)	2001-07-27	2014-12-17	2015-04-24		NC_003037,NC_003047,NC_003078	AE006469,AL591688,AL591985	refseq
Sinorhizobium meliloti 2011	smel	6,086	6,693,185	3	LIPM-INRA/CNRS	Unpublished	2013-03-08	2015-02-07	2016-05-19		NC_020527,NC_020560,NC_020528	CP004138,CP004139,CP004140	refseq
Sinorhizobium meliloti AK83	smk	7,296	7,140,471	5	US DOE Joint Genome Institute (JGI-PGF)	Unpublished	2010-09-13	2015-02-07	2016-05-19		NC_015590,NC_015596,NC_015591,NC_015597,NC_015592	CP002781,CP002782,CP002783,CP002784,CP002785	refseq
Sinorhizobium meliloti BL225C	smq	6,846	6,978,785	3	US DOE Joint Genome Institute (JGI-PGF)	Unpublished	2011-05-24	2015-02-07	2016-05-19		NC_017322,NC_017324,NC_017323	CP002740,CP002741,CP002742	refseq
Sinorhizobium meliloti GR4	smeg	6,395	7,139,558	5	Estacion Experimental del Zaidin - Consejo Superior de Investigaciones Científicas	Unpublished	2012-12-13	2015-02-07	2016-05-19		NC_019845,NC_019846,NC_019847,NC_019848,NC_019849	CP003933,CP003934,CP003935,CP003936,CP003937	refseq
Sinorhizobium meliloti Rm41	smi	6,560	7,149,690	4	CeBiTec, Bielefeld University	Unpublished	2012-09-28	2015-02-07	2016-05-19		NC_018700,NC_018682,NC_018683,NC_018701	HE995405,HE995406,HE995407,HE995408	refseq
Sinorhizobium meliloti SM11	smx	7,302	7,173,736	3	CeBiTec, Bielefeld University	J. Biotechnol. 155 (1), 20-33 (2011)	2011-06-14	2015-02-07	2016-05-19		NC_017325,NC_017327,NC_017326	CP001830,CP001831,CP001832	refseq
Parvibaculum lavamentivorans DS-1	pla	4,043	3,914,745	1	DOE Joint Genome Institute	(er) Appl. Environ. Microbiol. (2007) In press	2007-07-30	2015-02-07	2016-05-19		NC_009719	CP000774	refseq
Azorhizobium caulinodans ORS 571	azc	5,010	5,369,772	1	University of Tokyo, Japan	Appl. Environ. Microbiol. 73 (20), 6650-6659 (2007)	2007-10-17	2015-03-01	2016-05-19		NC_009937	AP009384	refseq
Starkeya novella DSM 506	sno	4,711	4,765,023	1	DOE Joint Genome Institute	Unpublished	2009-11-13	2015-02-07	2016-05-19		NC_014217	CP002026	refseq
Xanthobacter autotrophicus Py2	xau	5,598	5,625,098	2	DOE Joint Genome Institute	Unpublished	2007-07-30	2015-02-07	2016-05-19		NC_009720,NC_009717	CP000781,CP000782	refseq
Hodgkinia cicadicola	hct	170	150,297	1		Unpublished	2014-06-09	2014-10-17	2015-04-24			CP008699	gbk
Hodgkinia cicadicola TETUND1	hcc	121	133,698	1		Unpublished	2014-03-07	2014-03-07	2016-05-19		NC_007243		gbk
Hodgkinia cicadicola TETUND2	hcd	140	140,570	1		Unpublished	2014-03-07	2014-03-07	2016-05-19		NC_007243		gbk
Hodgkinia cicadicola Dsem	hci	171	143,795	1	DOE Joint Genome Institute	PLoS Genet. 5 (7), E1000565 (2009)	2009-07-13	2014-12-17	2015-04-24		NC_012960	CP001226	refseq
Methyloceanibacter caenitepidi Gela4	gm04328	3,228	3,424,964	1		Unpublished	2015-01-06	2015-03-24	2016-05-19		NZ_AP014648	AP014648	refseq
Hirschia baltica ATCC 49814	hba	3,374	3,540,114	2	DOE Joint Genome Institute	Unpublished	2009-07-17	2015-02-07	2016-05-19		NC_012982,NC_012983	CP001678,CP001679	refseq
Hyphomonas neptunium ATCC 15444	hne	3,821	3,705,021	1	TIGR	J. Bacteriol. 188 (19), 6841-6850 (2006)	2006-09-14	2015-02-07	2016-05-19		NC_008358	CP000158	refseq
Maricaulis maris MCS10	mmr	3,435	3,368,780	1	DOE Joint Genome Institute	Unpublished	2006-09-14	2015-02-07	2016-05-19		NC_008347	CP000449	refseq
Celeribacter indicus P73	gm04011	4,612	4,969,388	6		Nature (2015) In press	2015-01-16	2015-02-26	2016-05-19		NZ_CP004393,NZ_CP004394,NZ_CP004395,NZ_CP004396,NZ_CP004397,NZ_CP004398	CP004393,CP004394,CP004395,CP004396,CP004397,CP004398	refseq
Dinoroseobacter shibae DFL 12	dsh	4,467	4,417,868	6	DOE Joint Genome Institute	Unpublished	2007-10-05	2015-03-01	2016-05-19		NC_009952,NC_009955,NC_009956,NC_009957,NC_009958,NC_009959	CP000830,CP000831,CP000832,CP000833,CP000834,CP000835	refseq
